id_mata_kuliah	kd_mata_kuliah	nama_mata_kuliah	nama_mata_kuliah_english	sks	semester	tingkat_mata_kuliah	index_minimum	id_program_studi	nama_prodi	nama_prodi_en
2889	MPSA3N3	KEAMANAN SISTEM INFORMASI DIGITAL	DIGITAL INFORMATION SYSTEM SECURITY	3	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2890	STRA3B0	TOEFL6	TOEFL6	0	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2891	STRA3E2	KOMUNIKASI BISNIS	BUSINESS COMMUNICATION	2	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2892	STRA3G3	MERUMUSKAN STRATEGI BISNIS	FORMULATING BUSINESS STRATEGY	3	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2893	STRA3I4	KEMAMPUAN MENJALANKAN STRATEGI BISNIS	ABILITY TO EXECUTE BUSINESS STRATEGY	4	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2894	STRA3K3	KEMAMPUAN PENGELOLAAN KEUANGAN	FINANCIAL MANAGEMENT SKILLS	3	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2895	STRA3M2	KEMAMPUAN KERJASAMA	COOPERATION ABILITY	2	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2896	STRA3O2	KEPEMIMPINAN	LEADERSHIP	2	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2897	STRA3Q2	KREATIVITAS	CREATIVITY	2	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2898	STRA3S2	INOVASI	INNOVATION	2	Genap	3	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2899	STRA4E8	INTERNSHIP	INTERNSHIP	8	Genap	4	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2900	STRA4B4	SEMINAR PROPOSAL PROJECT AKHIR	FINAL PROJECT PROPOSAL SEMINAR	4	Genap	4	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
2901	STRA4H6	PROJECT AKHIR	FINAL PROJECT	6	Genap	4	C	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
3109	STRA1AB2	PANCASILA	PANCASILA	2	Ganjil	1	\N	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
3110	STRA1AD2	KEWARGANEGARAAN	CITIZENSHIP	2	Ganjil	1	\N	2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT
603	AKD62A0	SERTIFIKASI AKUNTANSI DASAR	BASIC ACCOUNTING CERTIFICATION	0	Genap	1	C	3	AKUNTANSI	ACCOUNTING
604	AKD62B0	SERTIFIKASI SIKLUS AKUNTANSI	ACCOUNTING CYCLE CERTIFICATION	0	Genap	1	C	3	AKUNTANSI	ACCOUNTING
605	AKD24A0	SERTIFIKASI MYOB	MYOB CERTIFICATION	0	Genap	2	C	3	AKUNTANSI	ACCOUNTING
606	AKD81A2	PENDIDIKAN AGAMA ISLAM	ISLAMIC EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
607	AKD81B2	PENDIDIKAN AGAMA KATHOLIK	CATHOLIC EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
608	AKD81C2	PENDIDIKAN AGAMA PROTESTAN	PROTESTANT EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
609	AKD61B2	PENDIDIKAN AGAMA BUDDHA	BUDDHIST EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
610	AKD01A2	PENDIDIKAN AGAMA HINDU	HINDU EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
611	AKD91F2	PENDIDIKAN AGAMA KHONGHUCU	CONFUCIANISM EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
612	AKD21A2	PANCASILA & KEWARGANEGARAAN	PANCASILA AND CITIZENSHIP	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
613	AKD81D2	PANCASILA DAN UUD 1945	PANCASILA AND THE 1945 CONSTITUTION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
614	AKD21C2	PENDIDIKAN PANCASILA	PANCASILA EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
615	AKD41A2	PENDIDIKAN KEWARGANEGARAAN	CIVIC EDUCATION	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
616	AKD81E2	KEWIRAAN	HEROISM	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
617	AKD82A2	ASPEK HUKUM DALAM EKONOMI	LEGAL ASPECTS IN ECONOMICS	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
618	AKD63A3	ASPEK HUKUM DALAM EKONOMI	LEGAL ASPECTS IN ECONOMICS	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
619	AKD26A0	ETIKA BISNIS	BUSINESS ETHICS	0	Genap	3	C	3	AKUNTANSI	ACCOUNTING
620	AKD16A2	ETIKA BISNIS	BUSINESS ETHICS	2	Genap	3	C	3	AKUNTANSI	ACCOUNTING
621	AKD06A2	ETIKA BISNIS DAN PROFESI	BUSINESS AND PROFESSIONAL ETHICS	2	Genap	3	C	3	AKUNTANSI	ACCOUNTING
622	AKD81F3	PENGANTAR ILMU EKONOMI	INTRODUCTION TO ECONOMICS	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
623	AKD31C3	PENGANTAR EKONOMI	INTRODUCTION TO ECONOMICS	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
624	AKD44B3	TEORI EKONOMI	ECONOMICS THEORY	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
625	AKD81G3	PENGANTAR EKONOMI MIKRO	INTRODUCTION TO MICROECONOMICS	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
626	AKD63B2	PENGANTAR EKONOMI PEMBANGUNAN	INTRODUCTION TO DEVELOPMENT ECONOMICS	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
627	AKD65B3	PEREKONOMIAN INDONESIA	INDONESIAN ECONOMY	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
628	AKD81H3	MATEMATIKA BISNIS	BUSINESS MATHEMATICS	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
629	AKD02A2	MATEMATIKA BISNIS	BUSINESS MATHEMATICS	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
630	AKD81I3	MATEMATIKA EKONOMI	MATHEMATICAL ECONOMICS	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
631	AKD62C3	MATEMATIKA KEUANGAN	FINANCIAL MATHEMATICS	3	Genap	1	C	3	AKUNTANSI	ACCOUNTING
632	AKD82B2	PENGANTAR APLIKASI KOMPUTER	INTRODUCTION TO COMPUTER APPLICATION	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
633	AKD62D2	LAB. PENG. APLIKASI KOMPUTER	INTRODUCTION TO COMPUTER APPLICATION LABORATORY	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
